id,name,town,price,type,host_name,rating,coordinates
1024,Quinta de Alamgra,Torres Vedras,Expensive,Entire villa,Andre,4.5,"39.07129, -9.17943"
1134,Luxury & big Villa near Ericeira,Torres Vedras,Expensive,Entire residential home,Marian,5.0,"39.06336, -9.41431"
1171,Comfortable Rooms Lisboa near Benfica/Aguas Livres,Amadora,Cheap,Private room in rental unit,Carina,4.93,"38.74411, -9.20768"
1213,Santa Beach House - Shared Room,Torres Vedras,Cheap,Shared room in residential home,Ricardo,4.64,"39.13377, -9.37708"
1216,ARTVILLA - MOINHO,Cadaval,Expensive,Entire bed and breakfast,Catarina,5.0,"39.19681, -9.08329"
1219,ARTVILLA - PADARIA,Cadaval,Expensive,Entire bed and breakfast,Catarina,5.0,"39.19674, -9.08478"
1220,ARTVILLA - QUARTO FOGO,Cadaval,Moderate,Private room in rental unit,Catarina,5.0,"39.19713, -9.0834"
1237,Beach house - Santa Cruz,Torres Vedras,Moderate,Entire rental unit,Tiago,4.67,"39.13382, -9.38128"
1246,Casa Verde 18th +17x6 Swimming pool,Cadaval,Expensive,Entire residential home,Herve,5.0,"39.26339, -9.06007"
1346,Casa Azul - Blue House,Oeiras,Expensive,Entire residential home,M&R,4.82,"38.69176, -9.32176"
1398,Casa das Portas,Oeiras,Moderate,Entire residential home,Sancho,4.82,"38.69659, -9.28633"
1411,Cachoeiras Country House,Vila Franca De Xira,Expensive,Entire cottage,Catarina,4.86,"38.9823, -9.0178"
1450,SunHill Villa- Stunning Detached Villa,Cadaval,Moderate,Entire residential home,Nuno,4.67,"39.22357, -9.08513"
1513,"House in a calm, rural place.",Alenquer,Cheap,Entire residential home,Cristina,4.68,"39.03321, -9.09395"
1597,Mirante nupcial - Vista incrivel,Alenquer,Expensive,Castle,Quinta Do Convento,4.71,"39.16477, -9.11363"
1609,Cosy & Sunny Flat Ap Lisbon C.Sol-Equipped,Amadora,Cheap,Entire rental unit,Alexandre,4.13,"38.76176, -9.20679"
1697,Double bed near Lisb airport(Blue),Loures,Cheap,Private room in rental unit,Antonio,4.93,"38.78438, -9.10972"
1784,LEMON TREE HOUSE,Alenquer,Moderate,Entire cottage,L. Eulalia,4.88,"39.12002, -9.07103"
1789,Parque Nacoes / Jardins Cristo Rei,Loures,Moderate,Entire rental unit,Afonso,4.92,"38.77618, -9.10747"
1846,Countryside Cottage near Lisbon,Alenquer,Cheap,Entire residential home,Steven,4.58,"39.08293, -9.09615"
1948,Countryside House near Lisbon,Arruda Dos Vinhos,Expensive,Entire residential home,Suzana,4.71,"38.98079, -9.1207"
1980,Monthly - Relaxing Sunset Lisbon 15min Airport,Vila Franca De Xira,Moderate,Entire rental unit,Marta,4.5,"38.86988, -9.05808"
1986,Apartment with 2 bedrooms in Infantado in Loures,Loures,Moderate,Entire rental unit,Adelaide & Paulo,4.59,"38.84291, -9.16203"
1992,Casal do Pineo,Cadaval,Moderate,Entire residential home,Lucy,4.56,"39.2289, -8.98996"
2090,Big room for 3 persons w balcony,Loures,Cheap,Private room in rental unit,Jose,3.0,"38.80714, -9.16033"
2171,The sun house,Loures,Moderate,Entire residential home,Fernando,4.55,"38.84721, -9.09225"
2358,Double bed room(Brown)Near Lisb airport &P. Nacoes,Loures,Cheap,Private room in rental unit,Antonio,4.9,"38.78589, -9.11113"
2526,Casa dos Avos  - 5585 /A. Local,Alenquer,Moderate,Entire residential home,Florinda Anjos,4.83,"39.0582, -9.12046"
2757,Charming apart+excellent price@LX,Odivelas,Cheap,Entire rental unit,Theo,4.4,"38.79412, -9.18056"
2830,Bedroom with double bed,Amadora,Cheap,Private room in rental unit,Mario,4.86,"38.73846, -9.21055"
2919,Apartment with terrace next to Nations Park,Loures,Moderate,Entire rental unit,Adelaide & Paulo,4.63,"38.77901, -9.10081"
2983,Quarto com casa de banho privativa,Amadora,Cheap,Private room in rental unit,Helena,5.0,"38.73348, -9.2191"
2991,CASA DO LIMOEIRO,Alenquer,Expensive,Entire villa,Tiago,4.88,"39.08263, -9.11159"
3182,CASA DO LIMOEIRO | Well house Rooms,Alenquer,Cheap,Shared room in guesthouse,Tiago,5.0,"39.08117, -9.11169"
3193,T3 grande perto de Lisboa,Loures,Expensive,Entire rental unit,Paulo Eduardo,5.0,"38.79004, -9.12317"
3332,Comf.CleanROOM(Metro300m)CloseToOrienteExpoAirport,Loures,Cheap,Private room in rental unit,Mara Claudia,4.72,"38.77648, -9.10138"
3340,Quinta Sobral Prestige - Rustic House,Sobral De Monte Agrao,Expensive,Entire residential home,Cleibi Zanette,4.73,"39.02202, -9.12915"
3350,APARTAMENTO DE LUXO,Odivelas,Moderate,Entire rental unit,Francisco,4.67,"38.80046, -9.18272"
3362,Dadra,Amadora,Moderate,Entire rental unit,Rui,4.57,"38.74696, -9.21823"
